review_text,label
"this fourth installment of the series is the last to get a theatrical release,though it feels like a direct to video movie.it's OK,i guess,but nothing special.the acting is the worst of seen in the series up to this point.and like the third movie,there isn't much in the way of imagination.also,the sentence ""directed by Alan Smithee"" is never a good thing.Smithee is the pseudonym directors use when they want nothing to do with the movie.anyway,its an acceptable movie in the Hellraiser series,but not much more than that.it's a slight drop in quality from number three,and a huge drop from the first two.for me,Hellraiser IV:Bloodline is a 4.5/10",0
"While I don't claim to be any sort of expert in marine life, I must say anyone with a modicum of intelligence could not possibly buy in to this notion of a whale (and not even the mother!) having a clue about revenge because it witnessed his dead mate having a forced abortion by humans! I mean, really! This is basically the whole plot. Richard Harris must have been extremely hard up for roles to have accepted this junk. This is the kind of movie that is so bad that if you paid 50 cents to see it, you would feel like demanding your money back.",0
"The other lowest-rating reviewers have summed up this sewage so perfectly there seems little to add. I must stress that I've only had the Cockney Filth imposed on me during visits from my children, who insist on watching the Sunday omnibus. My god, it's depressing! Like all soaps, it consists entirely of totally unlikeable characters being unpleasant to each other, but it's ten times as bad as the next worst one could be. The reviewer who mocked the 'true to life' bilge spouted by its defenders was spot-on. If anyone lived in a social environment like this, they'd slash their wrists within days. And I can assure anyone not familiar with the real East End that it's rather more 'ethnically enriched' than you'll ever see here. Take my advice - avoid this nadir of the British TV industry. It is EVIL.",0
"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with American accents was, for me, impossible to get past -- hard to believe this is England when no one talks with a British accent. There is zero chemistry between Crawford and anyone, and to echo a previous comment, the idea that Cooper and Crawford suddenly declare their love for one another without any reason is ludicrous. There is no reason to care about any of the characters, which is why we threw in the towel halfway through. I found it hard to believe that Hawks directed this, as none of the actors spoke with the trademark Hawksian rat-a-tat delivery. So save your time, and skip this one.",0
"After just watching FIVE ACROSS THE EYES, I gotta be honest...I just didn't like it. I had read so many good reviews on this movie, but I just did'nt get where these reviews have came from,<br /><br />I have got a lot of time for newcomers into film-making, and I'm sure the directors will do well for themselves, but the budget they had was the main problem, there was two cameras used in the entire film (which was OK) but they seemed like really cheap cameras. Another problem was the sound, you get all these girls screaming and shouting all at the same time, all talking on top of each other - it's just impossible to hear what they're saying.<br /><br />It had a good idea going for it, in a nutshell, they hit a parked car then drive off, a short while later they are getting chased by the car they hit, driven by a mad woman, who wants to kill them, and has plenty of chances to do so!...and on the other hand the girls have plenty of chances to escape, but don't! <br /><br />Very frustrating...I only just scraped through this one!",0
"This is one of the worst films I have *ever* seen! It is bad, even at TV Movie level standards. The plot is diabolically flawed, and the known names in this film are wasted on confused, uncertain characters. I don't know how the director managed to keep this excuse of a film together - it is that bad. Billed as a 'Psychological Horror Thriller' - it is certainly Horrific. There is nothing Thrilling about it. And it could do you Psychological damage! The initial opening scenes held such promise - a possible embarkation on whether the soul is just an aspect of the brain, but the utter shambles that followed the car-crash scene is beyond belief. No matter how hard you try, you couldn't care less about the characters. There are so many sprinkled ideas that the film is at best a collage of disconnected phrases from Chinese philosophers, and at worst the film would actually make you go Brain Dead!<br /><br />I have purchased over 300 films on DVD, and this is the FIRST one I'm going to get my money back on. STEER CLEAR.",0
"Production line collection of fart jokes that pretends 'Babe' was never made; the writers clearly hoped that the gimmick of seeing animals talk would be enough to keep the movie going. It's not. Eddie Murphy sells out yet again as a doctor who rediscovers his forgotten childhood gift for understanding the incessant and witless chatter of guinea pigs, tigers, rats, dogs and pigeons. The voice cast is impressive (Albert Brooks, Julie Kavner, Reni Santoni, John Leguizamo, Garry Shandling, Ellen DeGeneres, Paul Reubens, Brian Doyle-Murray) but the script is so unimaginative, charmless and depressingly unfunny that the whole thing rattles down the bin chute pretty quickly.",0
"The Toxic Avenger... <br /><br />The idea of this movie is that a person that the common population would call this person a looser and then after being thrown into a barrel of toxic waste, mutated into a superhero that is completely disfigured sounded OK even for 1985. This movie is listed as a horror... I even have read of a cult following with this series.... <br /><br />Now this movie even given when it was made was so bad that I couldn't stop watching... the acting is horrible even for an independent film that I think was to be the horror part of this movie...<br /><br />drug dealing, sumo, Godzilla entrance.... I'm all for movies that promote anti-drugs... heck I even like Godzilla and well sumo... I'm not into it but even still I think that the heights of sumo would love to give this movie the 1000 hand slap and ground salt into the eyes of the people that made this movie... <br /><br />Personally I am almost ready to write to the film company that made this and ask them for the 87mins or so of my life back.<br /><br />To me 1 out of 10 is too high it's too bad that there isn't a 0 (zero) or even negative integers to place on a movie here.<br /><br />In other words this movie is J-U-N-K...... would rather watch paint dry and deal with explosive diarrhea then have to watch this movie ever again... I would be the first person that would use not only the packaging of this movie as kindling but I would be up for a good'ol movie and script burning.",0
"Somewhere, on this site, someone wrote that to get the best version of the works of Jane Austen, one should simply read them. I agree with that. However, we love adaptations of great literature and the current writers' strike brings to mind that without good writers, it's hard for actors to bring their roles to life. The current version of Jane Austen's PERSUASION shows us what happens when you don't have a good foundation in a well-written adaptation. This version does not compare to the 1995 version with Amanda Root and Ciaran Hinds, which was well acted and kept the essence of the era and the constraints on the characters (with the exception of the bizarre parade & kissing in the street scene in Bath). The 2007 version shows a twitty Anne who seems angst-ridden. The other characters were not very developed which is a crime, considering how Austen could paint such wonderful characters with some carefully chosen understatements. The sequence of events that made sense in the novel were completely tossed about, and Mrs. Smith, Anne's bedridden and impoverished schoolmate is walking around in Bath - - twittering away, as many of the characters seemed to do. The strength of character and the intelligence of Captain Wentworth, which caused Anne to love him in the first place, didn't seem to be written into the Rupert Penry-Jones' Wentworth. Ciaran Hinds had more substance and was able to convey so much more with a look, than P-J was able to do with his poses. All in all, the 2007 version was a disappointment. It seemed to reduce the novel into a hand- wringing, costumed melodrama of debatable worth. If they wanted to bring our modern emotional extravagances into Austen's work, they should have done what they do with adaptations of Shakespeare: adapt it to the present. At least ""Bride & Prejudice"" was taken out of the historical & locational settings and was fun to watch, as was ""Clueless"". This wasn't PERSUASION, but they didn't know what else to call it.",0
"This is one of the most god-awful movies ever. Shaq better just stick to basketball. This movie took away apart of my life I will never have back. I will make fun of this movie until I die, and then some. It is so horrible it is not even funny. MST3000 would have a blast with this one.",0
"I was China in this film. I choose the screen name Sheeba Alahani because I was modeling at the time in Italy and they couldn't pronounce my real name correctly, so I choose Sheeba and then added Alahani since it was similar to Alohalani.<br /><br />I had never acted before (and it shows), but it was so much fun to film. They gave me ""acting lessons"" each morning (which obviously were not useful). They dubbed my voice (thank goodness).<br /><br />David and Peter were a blast on the set, full of good humor and jokes. This film was never meant to be taken seriously, it was a tax write off according to inside information. <br /><br />I give it a 1 because I have a sense of humor, but a 10 for the fun I had ""acting"" in it.",0
